date,lon,lat,La_Serena
1950-01-02,-71.26,-29.91,2.8717e-07
1950-01-03,-71.26,-29.91,8.40335e-08
1950-01-04,-71.26,-29.91,1.61567e-08
1950-01-05,-71.26,-29.91,2.24743e-08
1950-01-06,-71.26,-29.91,2.40052e-07
1950-01-07,-71.26,-29.91,7.43277e-07
1950-01-08,-71.26,-29.91,4.54667e-07
1950-01-09,-71.26,-29.91,1.83265e-07
1950-01-10,-71.26,-29.91,3.43356e-08
1950-01-11,-71.26,-29.91,2.55985e-07
1950-01-12,-71.26,-29.91,2.34641e-07
1950-01-13,-71.26,-29.91,2.45799e-07
1950-01-14,-71.26,-29.91,5.97849e-08
1950-01-15,-71.26,-29.91,1.23134e-07
1950-01-16,-71.26,-29.91,1.38991e-07
1950-01-17,-71.26,-29.91,1.32204e-07
1950-01-18,-71.26,-29.91,1.60477e-07
1950-01-19,-71.26,-29.91,1.16038e-07
1950-01-20,-71.26,-29.91,1.4706e-07
1950-01-21,-71.26,-29.91,2.39603e-08
1950-01-22,-71.26,-29.91,1.31613e-07
1950-01-23,-71.26,-29.91,1.21797e-07
1950-01-24,-71.26,-29.91,1.1524e-07
1950-01-25,-71.26,-29.91,1.01614e-08
1950-01-26,-71.26,-29.91,1.5487e-07
1950-01-27,-71.26,-29.91,4.78209e-08
1950-01-28,-71.26,-29.91,9.86513e-11
1950-01-29,-71.26,-29.91,5.31725e-08
1950-01-30,-71.26,-29.91,2.27187e-07
1950-01-31,-71.26,-29.91,4.07888e-09
1950-02-01,-71.26,-29.91,8.63606e-08
1950-02-02,-71.26,-29.91,1.53045e-07
1950-02-03,-71.26,-29.91,6.58894e-08
1950-02-04,-71.26,-29.91,8.20345e-08
1950-02-05,-71.26,-29.91,3.03276e-07
1950-02-06,-71.26,-29.91,1.55872e-08
1950-02-07,-71.26,-29.91,9.63922e-09
1950-02-08,-71.26,-29.91,6.2769e-08
1950-02-09,-71.26,-29.91,2.01443e-08
1950-02-10,-71.26,-29.91,1.54429e-07
1950-02-11,-71.26,-29.91,1.15177e-07
1950-02-12,-71.26,-29.91,1.75212e-07
1950-02-13,-71.26,-29.91,3.10849e-08
1950-02-14,-71.26,-29.91,7.2064e-09
1950-02-15,-71.26,-29.91,2.08636e-08
1950-02-16,-71.26,-29.91,1.40915e-08
1950-02-17,-71.26,-29.91,3.89425e-08
1950-02-18,-71.26,-29.91,3.45549e-08
