date,lon,lat,Quinta_Normal
1950-01-02,-70.68,-33.45,9.40706e-10
1950-01-03,-70.68,-33.45,6.61442e-13
1950-01-04,-70.68,-33.45,2.38119e-14
1950-01-05,-70.68,-33.45,3.24916e-10
1950-01-06,-70.68,-33.45,1.77576e-10
1950-01-07,-70.68,-33.45,1.16858e-11
1950-01-08,-70.68,-33.45,1.00095e-12
1950-01-09,-70.68,-33.45,7.36962e-12
1950-01-10,-70.68,-33.45,8.89227e-10
1950-01-11,-70.68,-33.45,7.13293e-07
1950-01-12,-70.68,-33.45,4.03248e-13
1950-01-13,-70.68,-33.45,1.9174e-09
1950-01-14,-70.68,-33.45,1.85221e-10
1950-01-15,-70.68,-33.45,2.09278e-13
1950-01-16,-70.68,-33.45,2.29534e-12
1950-01-17,-70.68,-33.45,8.70632e-12
1950-01-18,-70.68,-33.45,1.34881e-12
1950-01-19,-70.68,-33.45,4.74321e-15
1950-01-20,-70.68,-33.45,1.50049e-13
1950-01-21,-70.68,-33.45,2.68413e-10
1950-01-22,-70.68,-33.45,2.938e-07
1950-01-23,-70.68,-33.45,4.31062e-13
1950-01-24,-70.68,-33.45,1.37217e-08
1950-01-25,-70.68,-33.45,5.47234e-06
1950-01-26,-70.68,-33.45,2.74913e-11
1950-01-27,-70.68,-33.45,1.63716e-11
1950-01-28,-70.68,-33.45,1.27185e-09
1950-01-29,-70.68,-33.45,2.03558e-05
1950-01-30,-70.68,-33.45,8.76128e-14
1950-01-31,-70.68,-33.45,4.10109e-13
1950-02-01,-70.68,-33.45,7.46798e-15
1950-02-02,-70.68,-33.45,2.44571e-07
1950-02-03,-70.68,-33.45,1.11276e-08
1950-02-04,-70.68,-33.45,6.25692e-10
1950-02-05,-70.68,-33.45,1.67072e-08
1950-02-06,-70.68,-33.45,1.53753e-08
1950-02-07,-70.68,-33.45,4.98255e-06
1950-02-08,-70.68,-33.45,1.64924e-09
1950-02-09,-70.68,-33.45,2.86212e-09
1950-02-10,-70.68,-33.45,6.81913e-09
1950-02-11,-70.68,-33.45,7.21817e-09
1950-02-12,-70.68,-33.45,4.36616e-09
1950-02-13,-70.68,-33.45,1.98815e-06
1950-02-14,-70.68,-33.45,1.95967e-07
1950-02-15,-70.68,-33.45,8.86438e-08
1950-02-16,-70.68,-33.45,1.47011e-12
1950-02-17,-70.68,-33.45,5.69233e-09
1950-02-18,-70.68,-33.45,0.000197857
1950-02-19,-70.68,-33.45,1.94969e-13
1950-02-20,-70.68,-33.45,1.01302e-13
1950-02-21,-70.68,-33.45,7.02091e-10
1950-02-22,-70.68,-33.45,8.35897e-07
1950-02-23,-70.68,-33.45,6.20845e-10
1950-02-24,-70.68,-33.45,5.3669e-07
1950-02-25,-70.68,-33.45,2.17865e-08
1950-02-26,-70.68,-33.45,5.233e-14
1950-02-27,-70.68,-33.45,1.88699e-14
1950-02-28,-70.68,-33.45,1.65436e-14
1950-03-01,-70.68,-33.45,4.03516e-14
1950-03-02,-70.68,-33.45,1.04818e-12
1950-03-03,-70.68,-33.45,1.57713e-12
1950-03-04,-70.68,-33.45,3.27524e-12
1950-03-05,-70.68,-33.45,1.96455e-12
1950-03-06,-70.68,-33.45,3.08571e-07
1950-03-07,-70.68,-33.45,3.01175e-08
1950-03-08,-70.68,-33.45,3.68025e-11
1950-03-09,-70.68,-33.45,1.59031e-13
1950-03-10,-70.68,-33.45,1.77699e-12
1950-03-11,-70.68,-33.45,4.02873e-14
1950-03-12,-70.68,-33.45,1.46887e-08
1950-03-13,-70.68,-33.45,6.23265e-10
1950-03-14,-70.68,-33.45,5.95728e-10
1950-03-15,-70.68,-33.45,9.30409e-09
1950-03-16,-70.68,-33.45,7.7066e-12
1950-03-17,-70.68,-33.45,3.04634e-06
1950-03-18,-70.68,-33.45,1.11577e-07
1950-03-19,-70.68,-33.45,5.6325e-10
1950-03-20,-70.68,-33.45,4.70185e-09
1950-03-21,-70.68,-33.45,1.64953e-12
1950-03-22,-70.68,-33.45,4.35263e-11
1950-03-23,-70.68,-33.45,2.56466e-12
1950-03-24,-70.68,-33.45,6.41382e-16
1950-03-25,-70.68,-33.45,1.5683e-13
1950-03-26,-70.68,-33.45,7.7067e-13
1950-03-27,-70.68,-33.45,1.02096e-12
1950-03-28,-70.68,-33.45,3.14654e-14
1950-03-29,-70.68,-33.45,5.26014e-14
1950-03-30,-70.68,-33.45,1.35647e-14
1950-03-31,-70.68,-33.45,2.92591e-13
1950-04-01,-70.68,-33.45,7.62364e-12
1950-04-02,-70.68,-33.45,7.69577e-12
1950-04-03,-70.68,-33.45,3.14273e-11
1950-04-04,-70.68,-33.45,1.01437e-09
1950-04-05,-70.68,-33.45,1.37161e-11
1950-04-06,-70.68,-33.45,2.56175e-13
1950-04-07,-70.68,-33.45,1.30516e-14
1950-04-08,-70.68,-33.45,2.31186e-12
1950-04-09,-70.68,-33.45,1.25109e-12
1950-04-10,-70.68,-33.45,9.06362e-10
1950-04-11,-70.68,-33.45,6.1235e-10
1950-04-12,-70.68,-33.45,1.88024e-14
1950-04-13,-70.68,-33.45,1.03437e-06
1950-04-14,-70.68,-33.45,4.3147e-05
1950-04-15,-70.68,-33.45,3.07034e-09
1950-04-16,-70.68,-33.45,3.44482e-13
1950-04-17,-70.68,-33.45,1.01834e-05
1950-04-18,-70.68,-33.45,0.00090188
1950-04-19,-70.68,-33.45,0.000755119
1950-04-20,-70.68,-33.45,0.000164073
1950-04-21,-70.68,-33.45,4.0872e-07
1950-04-22,-70.68,-33.45,7.32651e-08
1950-04-23,-70.68,-33.45,1.23496e-06
1950-04-24,-70.68,-33.45,3.65366e-11
1950-04-25,-70.68,-33.45,6.37373e-13
1950-04-26,-70.68,-33.45,1.61671e-11
1950-04-27,-70.68,-33.45,1.59621e-07
1950-04-28,-70.68,-33.45,0.000166947
1950-04-29,-70.68,-33.45,1.90879e-08
1950-04-30,-70.68,-33.45,8.12043e-06
1950-05-01,-70.68,-33.45,9.31116e-14
1950-05-02,-70.68,-33.45,1.54448e-13
1950-05-03,-70.68,-33.45,1.354e-15
1950-05-04,-70.68,-33.45,3.96392e-13
1950-05-05,-70.68,-33.45,4.85391e-14
1950-05-06,-70.68,-33.45,1.33311e-15
1950-05-07,-70.68,-33.45,8.3075e-15
1950-05-08,-70.68,-33.45,1.0248e-08
1950-05-09,-70.68,-33.45,5.2415e-10
1950-05-10,-70.68,-33.45,1.22957e-08
1950-05-11,-70.68,-33.45,1.88584e-13
1950-05-12,-70.68,-33.45,2.97736e-08
1950-05-13,-70.68,-33.45,1.34731e-07
1950-05-14,-70.68,-33.45,0.000397744
1950-05-15,-70.68,-33.45,0.000620346
1950-05-16,-70.68,-33.45,0.00065234
1950-05-17,-70.68,-33.45,0.000120976
1950-05-18,-70.68,-33.45,2.00551e-05
1950-05-19,-70.68,-33.45,6.52693e-08
1950-05-20,-70.68,-33.45,8.41179e-09
1950-05-21,-70.68,-33.45,2.10174e-07
1950-05-22,-70.68,-33.45,1.02463e-05
1950-05-23,-70.68,-33.45,3.1354e-06
1950-05-24,-70.68,-33.45,3.95923e-09
1950-05-25,-70.68,-33.45,6.32093e-08
1950-05-26,-70.68,-33.45,1.05805e-08
1950-05-27,-70.68,-33.45,2.42475e-06
